PassengerId,HomePlanet,CryoSleep,Destination,Age,VIP,RoomService,FoodCourt,ShoppingMall,Spa,VRDeck,Transported,Deck,Room,Side
0020_01,0,True,2,1.0,False,0.0,0.0,0.0,0.0,0.0,False,4,0,1
0020_02,0,True,0,49.0,False,0.0,0.0,0.0,0.0,0.0,False,4,0,1
0020_03,0,True,0,29.0,False,0.0,0.0,,0.0,0.0,False,4,0,1
0020_04,0,False,2,10.0,False,0.0,0.0,0.0,0.0,0.0,True,4,0,1
0020_05,0,True,1,1.0,False,,0.0,0.0,0.0,0.0,False,4,0,1
0020_06,0,False,2,7.0,False,0.0,0.0,0.0,0.0,0.0,False,4,0,1
0022_01,2,False,2,21.0,False,980.0,2.0,69.0,0.0,0.0,False,3,0,0
0024_01,1,True,2,62.0,False,0.0,0.0,,0.0,0.0,True,2,2,1
0025_01,0,False,2,15.0,False,0.0,225.0,0.0,998.0,0.0,False,5,6,1
0026_01,1,False,0,34.0,False,22.0,6073.0,0.0,1438.0,328.0,False,2,0,0
0028_01,2,False,2,43.0,False,1125.0,0.0,136.0,48.0,0.0,False,5,8,0
0030_01,0,False,2,32.0,False,0.0,850.0,81.0,437.0,453.0,False,6,4,1
0031_01,2,False,2,47.0,False,214.0,0.0,1411.0,0.0,1229.0,True,5,9,0
0031_02,2,False,2,2.0,False,0.0,0.0,0.0,0.0,0.0,True,5,9,0
0031_03,2,False,2,20.0,False,,0.0,1750.0,990.0,0.0,True,5,9,0
0034_01,1,True,0,28.0,False,0.0,0.0,0.0,0.0,0.0,True,3,1,1
0035_01,2,False,0,23.0,False,784.0,964.0,0.0,951.0,0.0,False,3,1,0
0036_01,0,False,0,15.0,False,0.0,492.0,48.0,20.0,401.0,False,5,8,1
0038_01,0,False,0,20.0,False,554.0,195.0,0.0,2606.0,0.0,False,5,10,1
0039_01,0,True,0,30.0,False,0.0,0.0,,0.0,0.0,False,6,1,0
0041_01,0,True,2,17.0,False,0.0,0.0,0.0,0.0,0.0,True,6,2,0
0043_01,1,False,2,45.0,False,0.0,164.0,45.0,2511.0,855.0,False,1,3,0
0044_01,0,True,2,55.0,False,0.0,0.0,0.0,0.0,0.0,False,6,3,0
0044_02,0,True,0,4.0,False,0.0,0.0,0.0,0.0,0.0,True,6,3,0
0044_03,0,True,1,21.0,False,0.0,0.0,0.0,0.0,0.0,True,6,3,0
0045_01,2,False,2,21.0,False,970.0,0.0,180.0,0.0,64.0,False,5,10,0
0045_02,2,True,3,19.0,False,0.0,0.0,0.0,0.0,0.0,True,5,10,0
0050_01,0,False,0,35.0,False,790.0,0.0,0.0,,0.0,False,4,1,1
0051_01,0,False,2,56.0,False,0.0,112.0,0.0,1379.0,127.0,False,4,2,1
0052_01,0,False,2,27.0,False,4.0,0.0,2.0,4683.0,0.0,False,6,6,1
0053_01,0,False,2,25.0,False,0.0,0.0,1938.0,0.0,1.0,True,5,11,1
0056_01,1,False,2,2.0,False,0.0,0.0,0.0,0.0,0.0,True,0,1,1
0056_02,1,True,2,38.0,False,0.0,0.0,0.0,0.0,0.0,True,0,1,1
0056_03,1,False,2,27.0,False,279.0,605.0,3374.0,286.0,3.0,True,0,1,1
0058_01,0,True,1,36.0,False,0.0,0.0,0.0,0.0,0.0,False,6,7,1
0061_01,0,False,2,22.0,False,45.0,1096.0,148.0,1377.0,1.0,False,5,12,1
0062_01,0,False,2,62.0,False,0.0,592.0,0.0,17.0,25.0,False,5,13,1
0064_01,2,True,2,15.0,False,0.0,0.0,0.0,0.0,0.0,True,5,14,1
0064_02,3,True,2,33.0,False,0.0,0.0,,0.0,0.0,True,4,3,1
0066_01,0,False,2,62.0,False,1.0,153.0,197.0,0.0,460.0,False,6,6,0
0067_01,0,True,1,0.0,False,0.0,0.0,0.0,0.0,0.0,True,6,10,1
0067_02,0,False,2,18.0,False,1.0,258.0,446.0,0.0,0.0,True,6,10,1
0067_03,0,False,0,21.0,False,1946.0,37.0,0.0,0.0,24.0,False,5,15,1
0068_01,2,False,2,27.0,False,793.0,0.0,2.0,253.0,0.0,False,4,4,1
0069_01,0,False,2,42.0,False,887.0,0.0,9.0,6.0,0.0,True,5,16,1
0070_01,0,False,2,19.0,False,190.0,0.0,5.0,1.0,726.0,False,5,13,0
0071_01,0,False,2,17.0,False,16.0,2165.0,0.0,0.0,52.0,False,5,14,0
0072_01,0,False,2,14.0,False,0.0,1.0,0.0,0.0,1063.0,False,5,17,1
0073_01,2,False,1,37.0,False,46.0,83.0,738.0,0.0,12.0,False,3,3,0
0074_01,1,False,2,42.0,False,1.0,8397.0,0.0,0.0,506.0,True,2,3,1
0076_01,2,False,2,27.0,False,147.0,0.0,1018.0,0.0,0.0,True,5,18,1
0077_01,2,False,2,28.0,False,14.0,0.0,1295.0,0.0,0.0,True,5,15,0
0078_01,1,False,2,38.0,False,0.0,5840.0,0.0,321.0,9654.0,False,2,4,1
0081_01,0,True,2,13.0,False,0.0,0.0,0.0,0.0,0.0,False,6,13,1
0082_01,2,False,2,42.0,False,7406.0,0.0,0.0,0.0,0.0,False,5,16,0
0082_02,2,True,2,2.0,False,0.0,0.0,0.0,0.0,0.0,True,5,16,0
0082_03,2,False,2,8.0,False,0.0,0.0,0.0,0.0,0.0,True,5,16,0
0084_01,0,False,2,24.0,False,688.0,0.0,0.0,0.0,17.0,True,6,14,1
0085_01,1,True,2,40.0,False,0.0,0.0,0.0,0.0,0.0,True,2,5,1
0086_01,0,False,2,43.0,False,211.0,0.0,0.0,638.0,513.0,False,5,17,0
0088_01,2,True,1,45.0,False,0.0,0.0,0.0,0.0,0.0,True,4,5,1
0090_01,0,True,2,35.0,False,0.0,0.0,0.0,0.0,0.0,True,6,15,1
0091_01,0,True,2,26.0,False,,0.0,0.0,0.0,0.0,True,6,16,1
0091_02,0,False,2,27.0,False,1.0,697.0,31.0,188.0,0.0,False,5,20,1
0092_01,0,False,2,19.0,False,0.0,0.0,670.0,1.0,34.0,False,6,9,0
0092_02,0,True,2,0.0,False,0.0,0.0,,0.0,0.0,True,6,9,0
0092_03,0,True,2,3.0,False,0.0,0.0,0.0,0.0,0.0,True,6,9,0
0097_01,1,False,2,54.0,False,0.0,1208.0,0.0,3.0,637.0,False,0,2,1
0098_01,0,False,2,26.0,False,0.0,856.0,5.0,32.0,0.0,False,6,11,0
0098_02,0,False,2,26.0,False,0.0,2811.0,957.0,0.0,87.0,True,6,11,0
0099_01,0,False,1,23.0,False,311.0,427.0,526.0,37.0,0.0,False,5,19,0
0099_02,0,,2,2.0,False,0.0,0.0,0.0,0.0,0.0,True,6,12,0
0101_01,2,True,2,31.0,False,0.0,0.0,0.0,0.0,0.0,True,8,Unknown,2
0102_01,0,False,2,18.0,False,0.0,0.0,0.0,830.0,91.0,False,5,23,1
0103_01,0,False,2,24.0,False,0.0,,0.0,0.0,17.0,True,5,24,1
0103_02,0,True,0,9.0,False,0.0,0.0,0.0,0.0,0.0,True,6,18,1
0103_03,0,True,2,6.0,False,0.0,0.0,0.0,0.0,0.0,False,6,18,1
0105_01,0,,2,27.0,False,0.0,0.0,570.0,2.0,131.0,False,5,21,0
0107_01,2,False,2,21.0,False,1743.0,5.0,17.0,0.0,0.0,False,3,2,1
0108_01,0,True,2,23.0,False,0.0,0.0,0.0,0.0,0.0,False,6,19,1
0108_02,0,False,2,31.0,False,562.0,0.0,326.0,0.0,0.0,False,6,19,1
0108_03,0,False,2,0.0,False,0.0,0.0,0.0,0.0,0.0,True,6,19,1
0110_01,1,False,2,32.0,False,0.0,410.0,6.0,3929.0,764.0,False,8,Unknown,2
0110_02,1,,2,40.0,False,0.0,331.0,0.0,0.0,1687.0,False,1,5,0
0110_03,1,False,2,42.0,False,2209.0,11418.0,0.0,1868.0,445.0,True,1,5,0
0110_04,1,True,2,28.0,False,0.0,0.0,0.0,0.0,0.0,True,1,5,0
0111_01,1,True,2,29.0,False,0.0,0.0,0.0,0.0,0.0,True,4,6,1
0112_01,1,False,0,48.0,True,0.0,2537.0,87.0,17.0,13.0,True,1,1,1
0113_01,0,False,2,64.0,False,0.0,0.0,804.0,0.0,0.0,True,5,23,0
0114_01,0,False,2,27.0,False,82.0,157.0,429.0,238.0,1.0,False,6,20,1
0115_01,2,,2,26.0,False,0.0,0.0,0.0,0.0,,True,5,24,0
0116_01,1,False,2,33.0,False,1.0,2223.0,0.0,12.0,404.0,True,3,4,0
0119_01,3,False,2,39.0,False,0.0,2344.0,0.0,65.0,6898.0,False,0,0,0
0119_02,1,True,2,13.0,False,0.0,0.0,0.0,0.0,0.0,True,0,0,0
0120_01,2,True,2,24.0,False,0.0,0.0,0.0,0.0,,True,5,25,0
0122_01,0,False,2,29.0,False,0.0,0.0,0.0,699.0,74.0,False,6,21,1
0123_01,0,False,2,18.0,False,55.0,597.0,49.0,0.0,1.0,False,5,27,0
0126_01,2,True,2,67.0,False,0.0,0.0,0.0,0.0,0.0,True,5,27,1
0127_01,2,False,2,35.0,False,701.0,0.0,296.0,0.0,25.0,False,4,7,1
0128_01,2,False,2,61.0,True,2353.0,334.0,9.0,316.0,2.0,False,3,3,1
0128_02,2,False,2,45.0,False,2103.0,6.0,0.0,0.0,0.0,False,4,8,1
0129_01,0,True,1,22.0,False,0.0,0.0,,0.0,0.0,True,6,22,1
0133_01,2,True,2,19.0,False,0.0,0.0,0.0,0.0,0.0,True,5,29,1
0133_02,2,False,2,36.0,False,2738.0,0.0,0.0,0.0,0.0,False,3,5,1
0134_01,0,False,2,19.0,False,0.0,14.0,730.0,0.0,0.0,True,6,17,0
0136_01,0,False,1,47.0,False,97.0,418.0,126.0,25.0,55.0,False,6,23,1
0138_01,0,True,2,13.0,False,0.0,0.0,0.0,0.0,0.0,True,6,18,0
0138_02,0,False,3,34.0,False,0.0,22.0,0.0,564.0,207.0,False,4,5,0
0139_01,1,True,0,35.0,False,0.0,0.0,0.0,0.0,0.0,True,2,6,1
0140_01,0,True,2,24.0,False,0.0,0.0,0.0,0.0,0.0,True,6,19,0
0140_02,0,False,2,26.0,False,440.0,0.0,0.0,0.0,462.0,False,5,29,0
0141_01,2,False,2,31.0,False,,0.0,97.0,0.0,0.0,False,5,30,0
0144_01,0,False,2,20.0,False,0.0,420.0,210.0,0.0,0.0,True,5,31,1
0146_01,0,False,2,56.0,False,0.0,0.0,0.0,0.0,0.0,False,6,25,1
0147_01,0,True,2,50.0,False,0.0,0.0,0.0,0.0,0.0,True,6,26,1
0148_01,2,False,2,42.0,False,1072.0,0.0,10.0,0.0,76.0,False,5,31,0
0149_01,0,True,0,27.0,False,0.0,0.0,0.0,0.0,0.0,True,6,27,1
0151_01,0,True,0,38.0,False,0.0,0.0,0.0,0.0,0.0,False,6,20,0
0152_01,0,False,3,41.0,False,0.0,0.0,0.0,0.0,607.0,False,5,32,0
0160_01,0,False,2,22.0,False,4119.0,0.0,0.0,0.0,61.0,False,6,22,0
0163_01,1,True,2,26.0,False,0.0,0.0,0.0,0.0,0.0,True,1,8,0
0163_02,1,True,2,17.0,False,0.0,0.0,0.0,0.0,0.0,True,1,8,0
0164_01,0,False,2,57.0,False,50.0,1688.0,0.0,,135.0,True,6,28,1
0164_02,0,True,1,17.0,False,0.0,0.0,0.0,0.0,0.0,False,6,28,1
0165_01,2,True,2,35.0,False,0.0,0.0,0.0,0.0,0.0,True,5,37,0
0167_01,2,True,2,13.0,False,0.0,0.0,0.0,0.0,0.0,True,5,35,1
0167_02,2,False,2,27.0,False,1365.0,0.0,48.0,22.0,137.0,False,5,35,1
0169_01,0,True,2,31.0,False,0.0,0.0,0.0,0.0,0.0,False,6,23,0
0170_01,0,False,2,24.0,False,0.0,0.0,0.0,221.0,567.0,False,4,10,1
0171_01,0,True,1,19.0,False,0.0,0.0,0.0,0.0,0.0,True,6,30,1
0172_01,0,True,2,32.0,False,0.0,0.0,0.0,0.0,0.0,True,6,24,0
0173_01,0,,2,58.0,False,0.0,985.0,0.0,5.0,0.0,True,4,11,1
0174_01,0,False,0,21.0,False,287.0,0.0,16.0,115.0,175.0,False,5,38,0
0177_01,1,False,2,38.0,False,0.0,10346.0,1.0,14970.0,2111.0,False,1,2,1
0178_01,2,False,2,38.0,False,3414.0,0.0,161.0,28.0,119.0,False,3,6,1
0179_01,0,False,2,19.0,False,1.0,219.0,673.0,2.0,11.0,True,6,26,0
0179_02,0,False,2,0.0,False,0.0,0.0,0.0,0.0,0.0,False,6,26,0
0179_03,0,False,2,3.0,False,0.0,0.0,0.0,0.0,0.0,True,6,26,0
0181_01,0,False,2,20.0,False,0.0,0.0,3.0,299.0,92.0,False,6,27,0
0182_01,1,True,2,24.0,False,0.0,0.0,0.0,0.0,0.0,True,2,3,0
0183_01,0,False,2,37.0,False,17.0,146.0,426.0,0.0,232.0,True,5,36,1
0186_01,0,False,2,25.0,False,62.0,0.0,0.0,0.0,956.0,False,6,28,0
0188_01,0,True,2,56.0,False,0.0,0.0,0.0,0.0,0.0,True,6,31,1
0189_01,0,False,0,49.0,False,84.0,3.0,401.0,202.0,98.0,False,4,8,0
0190_01,0,True,0,11.0,False,0.0,0.0,0.0,0.0,0.0,False,6,32,1
0192_01,0,True,2,1.0,False,0.0,0.0,0.0,0.0,0.0,True,6,29,0
0192_02,0,False,2,8.0,False,0.0,0.0,0.0,0.0,0.0,False,6,29,0
0192_03,0,False,2,39.0,False,0.0,0.0,10.0,898.0,0.0,False,6,29,0
0193_01,2,True,2,2.0,False,0.0,0.0,0.0,0.0,0.0,True,5,41,0
0193_02,2,False,2,23.0,False,,0.0,8.0,1072.0,0.0,False,5,41,0
0193_03,2,False,2,0.0,False,0.0,0.0,0.0,0.0,0.0,True,5,41,0
0195_01,2,False,2,39.0,False,406.0,0.0,867.0,0.0,0.0,True,5,42,0
0196_01,2,False,1,25.0,False,1052.0,0.0,719.0,0.0,7.0,False,3,5,0
0197_01,1,False,2,36.0,False,0.0,972.0,0.0,795.0,575.0,False,2,5,0
0198_01,0,,1,52.0,False,0.0,0.0,0.0,0.0,0.0,True,6,30,0
0199_01,0,True,2,18.0,False,0.0,0.0,0.0,0.0,0.0,False,6,33,1
0200_01,0,True,2,15.0,False,0.0,0.0,0.0,0.0,0.0,True,6,31,0
0201_01,1,True,2,35.0,False,0.0,0.0,0.0,0.0,0.0,True,1,3,1
0201_02,1,True,2,47.0,False,0.0,0.0,0.0,0.0,0.0,True,1,3,1
0202_01,1,True,0,45.0,False,0.0,0.0,0.0,0.0,0.0,True,1,9,0
0202_02,1,False,0,27.0,False,0.0,2433.0,,878.0,443.0,True,0,2,0
0203_01,1,True,2,51.0,False,0.0,0.0,0.0,0.0,0.0,True,2,8,1
0205_01,0,False,2,29.0,False,0.0,2.0,66.0,0.0,705.0,False,6,34,1
0206_01,1,False,0,27.0,False,2.0,1720.0,12.0,1125.0,122.0,True,2,9,1
0207_01,0,True,1,19.0,False,0.0,0.0,0.0,0.0,0.0,False,6,32,0
0210_01,3,True,0,24.0,False,0.0,0.0,,0.0,0.0,True,3,6,0
0211_01,2,False,2,29.0,False,902.0,1.0,137.0,0.0,0.0,True,5,44,0
0211_02,2,True,2,11.0,False,0.0,0.0,0.0,0.0,0.0,True,5,44,0
0211_03,2,False,2,17.0,False,848.0,0.0,307.0,182.0,0.0,False,5,44,0
0212_01,0,False,2,13.0,False,192.0,0.0,0.0,51.0,739.0,False,4,9,0
0212_02,0,False,2,35.0,False,147.0,188.0,0.0,10.0,387.0,False,5,45,0
0213_01,0,False,2,21.0,False,367.0,281.0,0.0,0.0,146.0,False,5,46,0
0216_01,0,False,0,21.0,False,0.0,56.0,0.0,0.0,1918.0,False,5,40,1
0217_01,0,False,2,38.0,False,1517.0,0.0,0.0,27.0,0.0,False,5,47,0
0219_01,0,True,2,19.0,False,0.0,0.0,0.0,0.0,0.0,True,6,36,0
0220_01,0,True,2,2.0,False,0.0,0.0,0.0,0.0,0.0,True,6,37,0
0220_02,0,False,2,0.0,False,0.0,0.0,0.0,0.0,0.0,True,6,37,0
0220_03,0,True,2,13.0,False,0.0,0.0,0.0,0.0,0.0,False,6,37,0
0220_04,0,False,2,25.0,False,122.0,84.0,,0.0,0.0,False,4,10,0
0220_05,0,False,2,16.0,False,0.0,3.0,0.0,0.0,1099.0,False,5,48,0
0220_06,0,False,0,1.0,False,0.0,0.0,0.0,0.0,0.0,False,6,37,0
0220_07,0,True,2,15.0,False,0.0,0.0,0.0,0.0,0.0,True,6,37,0
0221_01,2,False,0,21.0,False,2237.0,0.0,119.0,0.0,0.0,False,4,13,1
0221_02,2,False,2,23.0,False,1215.0,80.0,1.0,2.0,0.0,False,4,13,1
0221_03,2,False,2,33.0,False,1933.0,12.0,188.0,1.0,0.0,False,4,13,1
0221_04,2,True,2,21.0,False,0.0,0.0,0.0,0.0,0.0,True,4,13,1
0221_05,2,False,2,41.0,False,1230.0,0.0,301.0,43.0,1023.0,False,4,13,1
0221_06,2,False,2,16.0,False,915.0,0.0,221.0,234.0,0.0,False,4,13,1
0221_07,2,True,2,42.0,False,0.0,0.0,0.0,0.0,0.0,False,4,13,1
0222_01,2,False,2,20.0,False,1406.0,0.0,0.0,11.0,0.0,False,5,41,1
0222_02,2,True,2,24.0,False,0.0,0.0,0.0,0.0,0.0,True,5,41,1
0222_03,2,True,2,16.0,False,0.0,0.0,0.0,0.0,0.0,True,4,14,1
0223_01,0,False,2,21.0,False,0.0,2.0,665.0,0.0,9.0,False,6,35,1
0224_01,2,False,2,32.0,True,181.0,0.0,5.0,1634.0,0.0,False,5,42,1
0225_01,0,True,1,58.0,False,0.0,0.0,0.0,0.0,0.0,True,6,38,0
0229_01,0,False,2,24.0,False,4.0,7.0,0.0,713.0,79.0,False,5,43,1
0231_01,2,False,2,30.0,False,85.0,0.0,1.0,1720.0,0.0,False,5,44,1
0232_01,0,True,1,27.0,False,0.0,,0.0,0.0,0.0,False,6,36,1
0233_01,2,False,2,32.0,False,56.0,0.0,256.0,1438.0,0.0,False,5,45,1
0234_01,0,False,2,43.0,False,,888.0,0.0,0.0,0.0,False,5,50,0
0237_01,1,True,2,42.0,False,0.0,0.0,0.0,0.0,0.0,True,1,11,0
0239_01,2,False,2,37.0,False,637.0,0.0,0.0,92.0,319.0,False,8,Unknown,2
0240_01,2,True,2,35.0,False,0.0,0.0,0.0,0.0,0.0,True,5,52,0
0241_01,1,,0,33.0,False,0.0,1249.0,0.0,4812.0,1116.0,False,4,11,0
0242_01,3,False,2,18.0,False,313.0,1.0,691.0,283.0,0.0,False,5,46,1
0243_01,0,True,2,21.0,False,0.0,0.0,0.0,0.0,0.0,False,6,37,1
0244_01,2,True,2,43.0,False,0.0,0.0,0.0,0.0,0.0,True,8,Unknown,2
0244_02,2,True,0,14.0,False,0.0,0.0,0.0,0.0,0.0,True,5,47,1
0245_01,1,False,0,46.0,False,0.0,3571.0,0.0,0.0,7.0,True,2,6,0
0245_02,1,False,2,33.0,False,0.0,86.0,796.0,584.0,10912.0,False,2,6,0
0246_01,2,False,2,21.0,False,2947.0,0.0,287.0,27.0,0.0,False,3,8,0
0248_01,1,False,2,33.0,False,0.0,1.0,0.0,8620.0,1063.0,False,2,10,1
0250_01,0,True,1,47.0,False,,0.0,0.0,0.0,0.0,False,6,38,1
0251_01,3,True,0,54.0,False,0.0,0.0,0.0,0.0,0.0,True,2,11,1
0252_01,0,False,2,30.0,False,335.0,695.0,541.0,0.0,0.0,False,5,53,0
0253_01,0,False,2,29.0,False,272.0,615.0,0.0,0.0,1.0,False,6,42,0
0254_01,0,False,2,21.0,False,702.0,172.0,408.0,2.0,6.0,True,5,54,0
0255_01,1,True,2,24.0,False,0.0,0.0,0.0,0.0,0.0,True,0,3,1
0257_01,2,False,0,21.0,False,1664.0,0.0,,0.0,0.0,False,5,49,1
0257_02,2,True,2,60.0,False,0.0,0.0,0.0,0.0,0.0,True,5,49,1
0258_01,0,False,2,22.0,False,0.0,0.0,313.0,299.0,92.0,False,5,50,1
0260_01,1,False,2,26.0,False,0.0,4810.0,0.0,981.0,2054.0,False,4,16,1
0261_01,0,False,2,26.0,False,66.0,29.0,0.0,0.0,803.0,False,5,56,0
0263_01,0,True,2,28.0,False,0.0,0.0,0.0,0.0,0.0,True,6,43,0
0265_01,1,True,2,39.0,False,0.0,0.0,0.0,,0.0,True,3,8,1
0267_01,0,False,2,13.0,False,118.0,0.0,0.0,754.0,1.0,False,5,51,1
0269_01,0,False,0,47.0,False,0.0,231.0,592.0,0.0,0.0,True,5,52,1
0270_01,0,False,2,63.0,False,0.0,25.0,128.0,0.0,1240.0,False,5,59,0
0275_01,1,True,0,27.0,False,0.0,0.0,0.0,0.0,0.0,True,3,9,1
0277_01,0,False,0,50.0,False,44.0,2390.0,0.0,53.0,0.0,True,5,61,0
0278_01,0,False,2,35.0,False,0.0,0.0,0.0,888.0,,False,8,Unknown,2
0278_02,0,False,2,45.0,False,0.0,97.0,0.0,14.0,333.0,False,6,45,0
0281_01,0,False,2,19.0,False,0.0,0.0,2078.0,0.0,0.0,True,5,63,0
0282_01,0,False,2,21.0,False,0.0,918.0,0.0,0.0,0.0,True,5,54,1
0283_01,0,True,1,29.0,False,0.0,0.0,0.0,0.0,0.0,True,6,46,0
0283_02,0,False,2,22.0,False,146.0,654.0,1.0,0.0,2.0,True,5,64,0
0285_01,1,True,2,14.0,False,0.0,0.0,0.0,0.0,0.0,True,4,16,0
0285_02,1,True,0,42.0,False,0.0,0.0,0.0,0.0,0.0,True,4,16,0
0286_01,0,False,0,57.0,False,3.0,1281.0,29.0,162.0,13.0,False,5,65,0
0287_01,1,True,0,39.0,False,0.0,0.0,0.0,0.0,0.0,True,8,Unknown,2
0287_02,1,False,2,28.0,False,0.0,587.0,32.0,6.0,1460.0,False,1,12,0
0288_01,0,False,0,19.0,False,0.0,0.0,0.0,0.0,828.0,False,5,55,1
0289_01,1,True,0,19.0,False,0.0,0.0,0.0,0.0,0.0,True,2,12,1
0290_01,1,False,0,26.0,False,0.0,4458.0,0.0,1157.0,262.0,True,1,7,1
0290_02,1,True,2,17.0,False,0.0,0.0,0.0,0.0,0.0,True,1,7,1
0290_03,1,,2,43.0,False,0.0,0.0,0.0,0.0,0.0,True,1,7,1
0290_04,1,False,0,9.0,False,0.0,0.0,0.0,0.0,0.0,True,1,7,1
0291_01,1,False,2,40.0,False,0.0,6500.0,88.0,1090.0,0.0,True,3,10,1
0294_01,1,True,2,50.0,False,0.0,0.0,0.0,,0.0,True,1,8,1
0297_01,0,False,2,24.0,False,90.0,2.0,1324.0,17.0,0.0,True,6,47,0
0298_01,1,True,0,57.0,False,0.0,0.0,0.0,0.0,0.0,True,0,3,0
0301_01,0,True,2,16.0,False,0.0,0.0,0.0,0.0,0.0,False,8,Unknown,2
0302_01,0,False,2,23.0,False,0.0,0.0,15.0,0.0,1370.0,False,5,67,0
0303_01,3,True,2,23.0,False,0.0,0.0,0.0,0.0,0.0,True,6,41,1
0304_01,1,False,2,28.0,False,0.0,422.0,0.0,1851.0,5166.0,False,4,18,1
0305_01,1,False,0,23.0,False,0.0,584.0,0.0,20.0,2469.0,False,2,7,0
0306_01,0,False,2,23.0,False,368.0,175.0,259.0,1.0,101.0,False,4,19,1
0307_01,0,False,2,18.0,False,0.0,0.0,1359.0,0.0,0.0,True,5,59,1
0309_01,0,False,2,18.0,False,1194.0,0.0,157.0,6.0,0.0,False,5,60,1
0310_01,1,False,2,67.0,False,,230.0,0.0,4476.0,241.0,False,8,Unknown,2
0313_01,0,False,1,60.0,False,7.0,540.0,1.0,0.0,4.0,True,5,68,0
0313_02,0,True,0,27.0,False,0.0,0.0,,0.0,0.0,True,6,50,0
0313_03,0,False,0,49.0,False,331.0,0.0,0.0,318.0,0.0,True,5,68,0
0313_04,0,False,0,0.0,False,0.0,0.0,0.0,0.0,0.0,True,6,50,0
0314_01,0,False,0,26.0,False,386.0,0.0,74.0,0.0,1330.0,False,6,51,0
0315_01,3,True,1,35.0,False,0.0,0.0,0.0,0.0,0.0,True,6,42,1
0316_01,1,False,2,24.0,False,0.0,2628.0,,170.0,0.0,True,1,9,1
0316_02,1,True,2,20.0,False,0.0,0.0,0.0,0.0,,True,1,9,1
0320_01,0,False,2,18.0,False,0.0,2.0,0.0,,0.0,False,6,44,1
0320_02,0,False,2,21.0,False,0.0,5.0,3.0,0.0,,False,6,44,1
0321_01,3,False,2,59.0,True,1018.0,0.0,209.0,0.0,0.0,False,5,61,1
0322_01,0,True,1,13.0,False,0.0,0.0,0.0,0.0,0.0,False,6,45,1
0324_01,0,True,0,43.0,False,0.0,0.0,0.0,0.0,0.0,False,6,53,0
0326_01,0,True,2,29.0,False,0.0,0.0,0.0,0.0,0.0,False,6,47,1
0327_01,0,False,2,19.0,False,17.0,0.0,784.0,0.0,2.0,True,8,Unknown,2
0330_01,1,False,2,2.0,False,0.0,0.0,0.0,0.0,0.0,True,2,14,1
0330_02,1,False,2,32.0,False,247.0,4651.0,0.0,46.0,202.0,True,2,14,1
0330_03,1,False,2,33.0,False,443.0,317.0,0.0,148.0,1260.0,False,2,14,1
0331_01,0,False,2,25.0,False,0.0,0.0,251.0,0.0,552.0,False,5,72,0
0333_01,2,True,0,29.0,False,0.0,0.0,0.0,0.0,0.0,True,5,73,0
0334_01,2,False,2,29.0,False,5715.0,2.0,211.0,1476.0,0.0,False,5,62,1
0336_01,0,False,2,44.0,False,695.0,1.0,16.0,0.0,0.0,False,5,74,0
0337_01,2,True,0,2.0,False,0.0,0.0,0.0,0.0,0.0,True,5,63,1
0337_02,2,False,2,19.0,False,417.0,349.0,634.0,3.0,1057.0,True,5,63,1
0337_03,2,False,0,0.0,False,0.0,0.0,0.0,0.0,0.0,True,5,63,1
0338_01,0,True,2,18.0,False,0.0,0.0,,0.0,0.0,True,6,48,1
